2016-03-05T00:00:00.000-05:00
job seekers,0.613213
Public Employees Retirement,0.428739
Exchange Commission,0.262195
consensus estimates,0.332919
email newsletter,0.60381
corporate employers,0.205866
Citigroup Inc.,-0.301686
integrated human resource,0.816217
recent quarter,0.428739
California Public Employees,0.428739
email address,0.458426
related companies,0.60381
InvestorPlace Broker Center,0.555736
high fees,-0.735674
aggregates job information,0.613213
China,0.714715
Friday,-0.326377
reports,-0.324164
personal trading style,0.598412
firm,-0.265195
glance,0.51306
latest news,0.458426
number,-0.324164
equities research analysts,-0.324164
average price,0.431953
shares,-0.301686
concise daily summary,0.458426
company,-0.0189931
stock broker,0.245696
mid-day trading,-0.326377
recruitment advertising,0.386705
