2016-03-15T00:00:00.000-04:00
Goldman Sachs,-0.39192
sell rating,0.410354
personal trading style,0.598412
target price,-0.277039
buy rating,0.425728
research note,0.018434
Acropolis Investment Management,0.202921
price target,0.226091
Citigroup Inc.,0.148688
AT&T,-0.043229
shares,0.202921
consensus estimate,0.287297
concise daily summary,0.458426
consensus price target,0.825668
stock,0.422073
hold rating,0.410354
related companies,0.60381
stock broker,0.245696
company,0.288593
consensus rating,0.825668
InvestorPlace Broker Center,0.555736
high fees,-0.735674
12-month high,-0.57542
AT&T Inc.,0.60381
quarter,0.202921
