2016-03-03T00:00:00.000-05:00
Investment Research Inc.,0.378829
Exchange Commission,0.311666
commercial package coverage,-0.251137
Management Corp MI,0.253404
Mutual Fund Advisers,0.450548
price objective,0.472687
insurance holding company,0.277273
research analysts,-0.224584
recent quarter,0.527261
Northpointe Capital LLC,0.527261
Financial Services stock,-0.249728
James Investment Research,0.378829
Services Inc Daily,0.513407
InvestorPlace Broker Center,0.555736
Fund Advisers Trust,0.450548
Arcadia Investment Management,0.253404
research report,0.487851
wholly owned subsidiaries,0.27424
Emerald Mutual Fund,0.450548
personal trading style,0.598412
Zacks Investment Research,0.324715
middle market business,-0.407504
average rating,-0.360175
Investment Management Corp,0.253404
Global Advisors Inc.,0.221528
average price,-0.215333
shares,0.0941728
consensus estimate,0.309704
concise daily summary,0.540155
average target price,-0.373157
amtrust financial services,-0.0295064
stock broker,0.245696
company,0.128428
rating,0.127676
quarterly earnings data,-0.226777
quarter,-0.0483972
