2016-03-03T00:00:00.000-05:00
Goldman Sachs,-0.233064
Exchange Commission,0.314329
Creative Planning,0.409739
e-commerce giant,0.595142
strong buy rating,0.297379
Amazon.com Inc.,0.638971
business’s stock,-0.228307
investment portfolio,0.454676
midday trading,-0.30571
giant’s stock,0.595142
stock,0.170795
related companies,0.638971
Hutchens Investment Management,0.390563
InvestorPlace Broker Center,0.555736
average price target,-0.381236
high fees,-0.735674
e-commerce company,0.376469
personal trading style,0.598412
Marcus Capital,0.231921
recent SEC filing,0.326449
average rating,-0.337426
research note,0.284864
average price,0.0720727
shares,0.143212
consensus estimate,0.444294
concise daily summary,0.466117
stock broker,0.245696
company,0.00121999
Amazon.com,0.035932
recent Form,0.314329
SVP Diego Piacentini,-0.228307
new stake,0.294263
quarter,0.0183749
