2016-03-05T00:00:00.000-05:00
position,0.208815
Exchange Commission,0.42665
e-commerce giant,0.494919
strong buy rating,0.347619
Amazon.com Inc.,0.638971
price target,-0.234801
Sanford C. Bernstein,-0.234801
investment portfolio,0.364458
giant’s stock,0.494919
Asset Management Co.,0.485031
recent filing,0.42665
Nordea Investment Management,0.562626
InvestorPlace Broker Center,0.555736
Personal Capital Advisors,0.524341
KAMES CAPITAL plc,0.208815
1-year high,-0.493111
research report,0.346239
Management Co. Ltd.,0.485031
e-commerce company,0.376469
personal trading style,0.598412
National Association,0.453492
Mizuho Asset Management,0.485031
Investment Management AB,0.562626
BMO Capital Markets,0.322654
period,0.494919
equities research analysts,0.337859
average price,0.23298
consensus estimate,0.38435
shares,0.213748
concise daily summary,0.466117
consensus target price,0.486761
stock broker,0.245696
Capital Advisors Corp,0.524341
company,0.439935
consensus rating,0.485731
American National Bank,0.449107
Amazon.com,0.0545418
quarterly earnings data,-0.290218
