2016-03-05T00:00:00.000-05:00
price target,0.440184
stake,0.26935
Director Donald A.,-0.253662
stock,-0.0475211
consensus price target,0.440184
Avinger Inc Daily,0.470406
Capital Management,0.204059
Thornburg Investment Management,0.26935
peripheral arterial disease,-0.297455
InvestorPlace Broker Center,0.555736
firm’s stock,-0.253662
Driehaus Capital Management,0.204059
equities analysts,-0.359647
sell rating,0.356745
Zacks Investment Research,0.40995
personal trading style,0.598412
average rating,-0.248009
Capital Management LLC,0.204059
Morgan Stanley,0.25959
Donald A. Lucas,-0.253662
average price,0.13432
shares,-0.0853323
concise daily summary,0.530175
Avinger,-0.0990818
stock broker,0.245696
medical device company,0.241133
Lightbox imaging console,0.283143
Reed Financial Inc.,0.259751
catheter-based systems,-0.297455
new stake,0.26935
quarter,-0.0672047
