2016-03-05T00:00:00.000-05:00
mining company,0.314021
email newsletter,0.585671
quarter worth,0.298804
stake,0.298804
stock,0.300356
Raymond James,0.336605
email address,0.515729
related companies,0.585671
InvestorPlace Broker Center,0.555736
research report,0.211205
BlueCrest Capital Management,0.298804
high fees,-0.735674
BBL,-0.291811
unconventional oil,-0.25629
personal trading style,0.598412
iron ore,0.418874
Millennium Management LLC,0.301413
latest news,0.515729
Sigma Advisers LLC,0.301396
Sigma Investments LLC,0.316669
average price,0.429157
shares,0.302597
average target price,-0.299872
concise daily summary,0.515729
stock broker,0.245696
consensus rating,0.476808
rating,0.344007
bhp billiton plc,-0.0697306
quarter,0.310977
new stake,0.298804
