2016-03-12T00:00:00.000-05:00
Capital Management Inc.,0.445603
market cap,0.208015
BBBY shares,-0.273142
BB&T Corp.,-0.300457
Bed Bath,0.173771
retailer,0.444377
investment analysts,0.253732
Cost Plus,0.532291
DekaBank Deutsche Girozentrale,0.32318
stock,0.0105005
Equities research analysts,-0.207694
PE ratio,0.208015
InvestorPlace Broker Center,0.555736
chief operating officer,0.22192
twelve-month target price,-0.41746
12-month high,-0.409467
equities analysts,-0.273142
Mcrae Capital Management,0.445603
sell rating,0.253732
World Market,0.443079
Zacks Investment Research,0.261277
personal trading style,0.598412
target price,-0.36811
average price,0.121098
consensus estimate,-0.392007
shares,0.103624
concise daily summary,0.461341
Canaccord Genuity,-0.287212
stock broker,0.245696
AnalystRatings.Net reports,-0.278923
Eugene A. Castagna,-0.240452
company,-0.103792
consensus rating,0.385271
rating,7.4181E-4
Rothschild Investment Corp,0.403163
quarterly earnings data,-0.274652
