2016-03-13T00:00:00.000-05:00
Rock Capital Partners,0.233071
previous quarterly dividend,0.227836
Architectural Framing Systems,0.376646
Copper Rock Capital,0.233071
quarterly dividend,0.227836
Mutual Fund Advisers,0.364591
strong buy rating,0.835875
Enterprises Inc Daily,0.513306
stock,0.391272
consensus price target,0.592877
Apogee Enterprises,-0.0522875
industry rank,-0.279851
Eagle Asset Management,0.203092
InvestorPlace Broker Center,0.555736
Fund Advisers Trust,0.364591
high fees,-0.735674
Large-Scale Optical Technologies,0.376646
year-over-year basis,-0.361319
Emerald Mutual Fund,0.364591
Zacks Investment Research,0.389948
personal trading style,0.598412
investment analyst,0.835875
target price,0.309326
Emerald Advisers,0.285163
research note,0.309326
value-added glass solutions,0.794546
current quarter,0.592877
research offerings,0.40995
shares,0.29943
concise daily summary,0.545042
stock broker,0.245696
company,0.106717
quarter,0.102181
