2016-03-13T00:00:00.000-05:00
Group plc Daily,0.56685
GBX,-0.0987825
email newsletter,0.683812
price target,0.0490318
Burberry brand,0.682568
burberry group plc,0.0676695
Company designs,0.431176
Monday,0.328068
email address,0.564635
related companies,0.683812
report,0.36491
InvestorPlace Broker Center,0.555736
1-year high,-0.365685
high fees,-0.735674
underperform,-0.224878
personal trading style,0.598412
product categories,0.644336
average rating,-0.244974
latest news,0.564635
luxury goods,0.772128
United Kingdom-based manufacturer,0.549492
average price,0.216137
shares,0.366926
concise daily summary,0.564635
men’s apparel,0.644336
stock broker,0.245696
company,0.43055
average 12-month price,-0.251125
brokers,0.261935
