2016-03-14T00:00:00.000-04:00
York State Common,0.208864
digital advertising performance,0.781303
Common Retirement Fund,0.208864
stock,0.0111166
Capital Partners LLP,0.363391
InvestorPlace Broker Center,0.555736
firm’s stock,-0.234198
total value,0.338403
Educational Savings Trust,0.873262
research report,0.130532
America Capital Management,0.348993
State Common Retirement,0.208864
personal trading style,0.598412
average rating,-0.253601
target price,0.129561
New York State,0.208864
Capital Management LLC,0.337641
GSA Capital Partners,0.363391
average price,-0.215333
digital media analytics,0.781303
shares,0.137425
concise daily summary,0.467333
Marketbeat reports,-0.391115
consensus target price,0.440552
COO Cameron Meierhoefer,-0.234198
COMSCORE Inc.,0.64453
River Capital Management,0.314937
Audience Measurement Products,0.322708
stock broker,0.245696
company,0.0175095
mid-day trading,-0.412868
Hood River Capital,0.314937
SCOR shares,-0.302873
New Jersey Better,0.873262
comscore,0.440108
quarterly earnings data,-0.223922
quarter,0.0874003
