2016-03-15T00:00:00.000-04:00
investment product underwriting,0.490576
Capital Management Inc.,0.376285
Investment Partners Inc.,0.416749
Reed Financial,-0.081089
quarter worth,0.28096
price target,-0.186626
Citigroup Inc.,-0.553124
Epoch Investment Partners,0.416749
asset management company,0.614418
stock,-0.042324
consensus price target,0.48604
Capital Management,0.4082
Equities research analysts,-0.640735
Ivy Funds Variable,0.278409
Victory Capital Management,0.376285
InvestorPlace Broker Center,0.555736
shareholder services administration,0.490576
research report,0.493934
equities analysts,-0.267099
potential downside,-0.553124
personal trading style,0.598412
Zacks Investment Research,0.41173
Capital Management LLC,0.440115
shares,0.385893
Waddell,-0.0668526
Herndon Capital Management,0.440115
concise daily summary,0.458577
MarketBeat reports,-0.286448
previous close,-0.553124
Reed Advisors group,0.490576
stock broker,0.245696
company,0.462464
consensus rating,0.485686
Reed Financial Inc.,0.604501
rating,0.396734
Financial’s revenue,-0.261457
quarter,0.384486
