2016-03-15T00:00:00.000-04:00
Exchange Commission,0.277579
Group Inc Daily,0.455113
price target,-0.0588759
quarterly earnings results,-0.225904
midday trading,-0.385968
stock,0.281654
recent filing,0.277579
InvestorPlace Broker Center,0.555736
average price target,-0.335615
1-year high,-0.384111
year-over-year basis,-0.254879
sell rating,0.356745
personal trading style,0.598412
Rhumbline Advisers,0.204765
Barrow Hanley Mewhinney,0.266439
recent reporting period,0.266439
BMO Capital Markets,0.38152
Nationwide Fund Advisors,0.208554
equities research analysts,-0.273386
average price,0.151926
shares,0.20666
DeVry Education Group,0.0961333
consensus estimate,0.288013
concise daily summary,0.523645
postsecondary education,0.540771
DeVry Group,0.556124
Strauss LLC,0.266439
stock broker,0.245696
company,0.0454075
consensus rating,0.392508
rating,0.299488
quarter,-0.254879
