2016-03-12T00:00:00.000-05:00
Exchange Commission,0.430849
Essex Investment Management,0.303301
natural gas reserves,0.207499
Russell Frank,0.430789
price target,-0.0312023
business’s stock,-0.223389
recent analyst reports,-0.230403
recent quarter,0.634005
stake,0.333187
Permian Basin,0.207499
stock,0.0916847
Energy Inc Daily,0.51634
Diamondback Energy,0.180175
Deutsche Bank,0.27421
InvestorPlace Broker Center,0.555736
average price target,-0.3348
high fees,-0.735674
12-month high,-0.231207
VP Elizabeth Moses,-0.223389
personal trading style,0.598412
natural gas company,0.611094
target price,0.382782
unconventional onshore oil,0.207499
research note,0.329993
Equities analysts,0.485217
period,0.404037
Neuberger Berman Group,0.634005
average price,-0.289054
shares,0.104502
concise daily summary,0.544415
stock broker,0.245696
company,0.45618
FANG,-0.230403
recent Form,0.430849
Berman Group LLC,0.634005
quarter,0.176697
