2016-03-03T00:00:00.000-05:00
Dominion Generation,0.339258
Benedict Financial Advisors,0.361719
Financial Security Inc.,0.263326
previous quarterly dividend,0.610841
quarterly dividend,0.610841
quarterly earnings results,-0.244156
Financial Services LLC,0.361073
Cents Savings Bank,0.260004
DekaBank Deutsche Girozentrale,0.246884
consensus price target,0.434903
stock,0.025685
recent filing,0.32401
Bank Trust Department,0.311614
InvestorPlace Broker Center,0.555736
1-year high,-0.539535
Mechanics Bank Trust,0.311614
Dominion Energy,0.339258
Dominion Resources,0.43743
sell rating,0.356745
personal trading style,0.598412
Cape Cod,0.260004
average rating,-0.332511
recent SEC filing,0.311614
target price,0.398349
HL Financial Services,0.361073
senior vice president,0.213586
average price,0.223879
Dominion Resources Inc.,0.612622
shares,0.298975
concise daily summary,0.460354
Cohen Financial Security,0.263326
stock broker,0.245696
company,-0.00258341
mid-day trading,-0.261926
Financial Advisors Inc.,0.361719
rating,-0.07003
quarter,0.298601
