2016-03-05T00:00:00.000-05:00
Exchange Commission,0.532163
previous quarterly dividend,0.633163
quarterly dividend,0.633163
Duke Energy Progress,0.363917
energy company,0.45139
price target,0.424203
stock,0.368366
consensus price target,0.482143
InvestorPlace Broker Center,0.555736
Pensionfund DSM Netherlands,0.276554
personal trading style,0.598412
recent disclosure,0.532163
Beacon Financial Group,0.34701
research note,0.398902
average price,0.110727
shares,0.0704403
consensus estimate,-0.21282
concise daily summary,0.505422
Ledyard National Bank,0.232623
Duke Energy Corporation,0.45139
Mondrian Investment Partners,0.421186
company,0.396647
Duke Energy Corp,0.0352239
consensus rating,0.42334
Duke Energy Florida,0.224911
rating,0.427727
new position,0.275782
Energy Corp Daily,0.391907
quarterly earnings data,-0.292517
quarter,0.328928
