2016-03-13T00:00:00.000-05:00
Exchange Commission,0.312392
Partners LP Daily,0.470218
HITE Hedge Asset,0.244554
52-week low,-0.750672
stock,0.271659
52-week high,-0.750672
email address,0.524095
recent filing,0.395442
InvestorPlace Broker Center,0.555736
Management LLC,0.244554
Director Peter B.,0.311182
average price target,-0.369718
high fees,-0.735674
Midstream Partners LP,-0.325388
equal weight,-0.245021
Zacks Investment Research,0.522944
personal trading style,0.598412
latest news,0.524095
average rating,-0.357599
Morgan Stanley,0.350295
Director Alan N.,0.258099
average price,-0.369718
shares,0.317546
Enable Midstream Partners,-0.133829
concise daily summary,0.524095
company,0.290059
stock broker,0.245696
new position,0.244554
