2016-03-05T00:00:00.000-05:00
natural gas,0.225639
Nexus Investment Management,0.128618
strong buy rating,0.369996
dividend yield,0.321337
price target,-0.00183308
12-month target price,-0.269811
stake,-0.269837
DekaBank Deutsche Girozentrale,0.0581467
stock,0.0397069
customer diversification,0.533337
Deutsche Bank,0.318272
InvestorPlace Broker Center,0.555736
transportation commitments,0.529147
high fees,-0.735674
12-month high,-0.439536
personal trading style,0.598412
Jefferies Group,-0.36081
ICON Advisers,0.0673894
Candriam Luxembourg S.C.A.,0.317788
average price,0.229962
consensus estimate,0.41577
shares,0.0580742
concise daily summary,0.44807
Encana Co.,0.55647
MarketBeat reports,-0.281879
Encana Corporation,0.284626
stock broker,0.245696
company,-0.0362052
consensus rating,0.232974
Encana,0.0660566
quarterly earnings data,-0.207578
quarter,0.0755264
