2016-03-05T00:00:00.000-05:00
Enphase Energy stock,0.278865
Exchange Commission,0.533334
price target,0.00893655
Energy Inc Daily,0.530867
Capital Partners LLP,0.301832
related companies,0.648258
Deutsche Bank,0.238299
InvestorPlace Broker Center,0.555736
trading volume,-0.456056
average price target,-0.3348
high fees,-0.735674
year-over-year basis,-0.349558
Zacks Investment Research,0.282949
personal trading style,0.598412
target price,0.238299
GSA Capital Partners,0.301832
average price,-0.3348
Enphase Energy,-0.10351
shares,-0.0536969
hedge fund,0.278865
concise daily summary,0.549907
Canaccord Genuity,0.343737
stock broker,0.245696
company,0.0559942
AnalystRatings.Net reports,-0.403891
consensus rating,0.405552
mid-day trading,-0.325648
rating,0.405552
previous session,-0.333142
new stake,0.290349
