2016-03-08T00:00:00.000-05:00
Advisory Services Network,0.540972
Exchange Commission,0.311666
Union Bankshares,0.313471
Fulton Bank,0.431211
strong buy rating,0.373102
investment services,0.525685
stock,0.0667281
recent filing,0.311666
InvestorPlace Broker Center,0.555736
firm’s stock,-0.305156
average price target,-0.330671
Mercantile Trust Co.,0.586621
sell rating,0.33224
personal trading style,0.598412
Beacon Capital Management,0.420147
target price,0.27121
Financial Services Corp,0.181696
recent reporting period,0.586621
Services Network LLC,0.540972
EVP Mark A.,-0.305156
Enterprise Financial Services,0.181696
shares,0.150855
financial services provider,0.456011
concise daily summary,0.545958
stock broker,0.245696
consensus rating,0.471613
suntrust,0.0665344
equities research analyst,0.33224
quarter,0.121313
SunTrust Daily,0.534992
new stake,0.313471
