2016-03-05T00:00:00.000-05:00
position,0.27669
Exchange Commission,0.278081
previous quarterly dividend,0.794894
quarterly dividend,0.794894
52-week low,-0.557393
dividend yield,0.295783
Ross Stores Inc.,0.650602
retailer’s stock,0.567625
Carlton Hofferkamp,0.699867
Wealth Management LLC,0.699867
Ross Stores,0.169574
Investment Advisers LLC,0.514716
recent quarter,0.78019
recent filing,0.278081
Planning Advisors LLC,0.538046
off-price retailer,0.518974
InvestorPlace Broker Center,0.555736
Somerset Trust,0.520957
Gateway Investment Advisers,0.514716
Livforsakringsbolaget Skandia Omsesidigt,0.468052
Oakwood Capital Management,0.60695
personal trading style,0.598412
average rating,-0.298602
target price,-0.369308
Capital Management LLC,0.60695
apparel retailer,0.567625
Equities analysts,0.248367
average price,0.379781
shares,0.226149
average target price,-0.369308
concise daily summary,0.468662
stock broker,0.245696
company,-0.0886603
Management LLC CA,0.60695
rating,0.0918592
new position,0.699867
quarter,0.237107
Capital Planning Advisors,0.538046
