2016-03-13T00:00:00.000-05:00
Genpact Limited,0.146373
Kalmar Investments,0.334712
Cadence Capital Management,0.145788
core information technology,0.383803
price target,-0.0246642
quarterly earnings results,-0.267245
smart enterprise processes,0.523935
Deutsche Bank,-0.589435
Equities research analysts,-0.388652
InvestorPlace Broker Center,0.555736
average price target,-0.379199
research report,0.426087
Dalton Investments LLC,-0.235221
SVP Arvinder Singh,-0.219168
potential downside,-0.589435
personal trading style,0.598412
average rating,-0.304836
Capital Management LLC,0.145788
intelligent business operations,0.657988
Investment Management Inc.,0.561633
average price,-0.311108
shares,0.204335
concise daily summary,0.433474
Genpact Limited stock,-0.219168
previous close,-0.589435
stock broker,0.245696
company,0.134705
Schwab Charles Investment,0.561633
Charles Investment Management,0.561633
rating,0.0496998
price objective points,-0.589435
quarter,0.342853
