2016-03-05T00:00:00.000-05:00
Exchange Commission,0.275365
dividend yield,0.358243
strong buy rating,0.41106
price target,0.352736
stock,0.103228
consensus price target,0.440184
recent filing,0.451442
human immunodeficiency virus,-0.316055
InvestorPlace Broker Center,0.555736
Gillespie Robinson,0.226663
12-month high,-0.551868
equities analysts,-0.62117
SEC website,0.487047
Zacks Investment Research,0.318593
personal trading style,0.598412
research-based biopharmaceutical company,0.412313
average rating,-0.248009
research note,0.399928
High Point Bank,0.627519
chronic kidney disease,-0.651978
average price,-0.215333
chronic autoimmune diseases,-0.649598
shares,0.050727
consensus estimate,0.348797
concise daily summary,0.530175
AbbVie Inc Daily,0.470406
Trust Co.,0.627519
stock broker,0.245696
company,-0.0357558
AbbVie,-0.139284
Montrusco Bolton Investments,0.206781
new position,0.206781
quarterly earnings data,-0.213267
quarter,0.216722
