2016-03-05T00:00:00.000-05:00
Exchange Commission,0.367566
Fisher Asset Management,0.280408
recent quarter,0.516759
stake,0.238809
stock,0.0356855
SVP Katherine L.,-0.204734
InvestorPlace Broker Center,0.555736
Motley Inc.,0.516759
Saddle Road Partners,0.238809
personal trading style,0.598412
recent disclosure,0.367566
annualized basis,0.483731
Honeywell International,-0.0812154
David M. Cote,-0.222066
period,0.280408
equities research analysts,-0.374376
Stifel Nicolaus,0.263763
average price,0.223879
shares,0.0625645
average target price,-0.323452
concise daily summary,0.460666
company,0.450887
stock broker,0.245696
consensus rating,0.435093
energy efficient products,0.720581
rating,0.369663
Honeywell International Inc.,0.106805
manufacturing company,0.565572
quarter,0.377784
new stake,0.238809
