2016-03-15T00:00:00.000-04:00
unusually-strong trading volume,-0.239811
Breton Hill Capital,0.314941
dividend yield,0.485777
price target,0.222555
stock,0.123024
consensus price target,0.48604
InvestorPlace Broker Center,0.555736
Ellis Asset Management,0.450317
research report,-0.263485
Resorts,0.153698
self-administered real estate,0.476368
Resorts Inc Daily,0.633506
personal trading style,0.598412
Host Hotels,0.153698
Equities analysts,0.264364
CIBC Asset Management,0.418455
Stifel Nicolaus,0.370043
Credit Suisse,0.247547
average price,0.210479
Atria Investments,0.402077
shares,0.089979
concise daily summary,0.579465
Canaccord Genuity,-0.263485
Baker Ellis Asset,0.450317
Hill Capital Ltd.,0.314941
MarketBeat reports,-0.339842
stock broker,0.245696
company,0.00666845
consensus rating,0.485686
mid-day trading,-0.258626
Asset Management,0.434386
rating,0.485686
previous session,-0.228938
quarter,0.0754206
