sell rating,0.460939
personal trading style,0.598412
Zacks Investment Research,0.346403
investment analyst,0.460939
average rating,-0.455471
FBR,0.206031
bile acid,-0.530695
52-week low,-0.722428
research offerings,0.40995
average price,-0.246197
consensus estimate,0.206354
shares,-0.246197
concise daily summary,0.442172
average target price,-0.379113
chronic liver diseases,-0.790284
stock,-0.0628149
52-week high,-0.722428
bile acid analog,-0.271107
stock broker,0.245696
bile acid chemistry,-0.790284
InvestorPlace Broker Center,0.555736
Intercept Pharmaceuticals,0.131438
rating,0.0106651
biopharmaceutical company,0.383277
