2016-03-15T00:00:00.000-04:00
market cap,0.229409
Ratings Network.com reports,-0.22358
strong buy rating,0.26608
price objective,0.485065
price target,0.222905
CIBC World Markets,0.492414
stock,-0.129499
Intuitive Surgical,0.468396
PE ratio,0.229409
InvestorPlace Broker Center,0.555736
British Columbia Investment,0.383172
Vinci Surgical Systems,0.348858
research report,0.423208
Intuitive Surgical Inc.,0.705464
Pensionfund DSM Netherlands,0.301377
Korea Investment CORP,0.250305
Zacks Investment Research,0.546461
personal trading style,0.598412
average rating,-0.298602
Investment Management Corp,0.383172
Equities analysts,0.485264
equities research analysts,-0.25369
average price,0.0466527
consensus estimate,0.547373
shares,0.151924
da Vinci Surgical,0.348858
average target price,-0.369308
concise daily summary,0.480663
stock broker,0.245696
Columbia Investment Management,0.383172
company,0.0282493
previous session,-0.4967
new position,0.396895
quarter,0.356817
