2016-03-12T00:00:00.000-05:00
midstream energy services,0.695196
analysts,0.051276
natural gas pipeline,0.266848
Enterprise Products Partners,0.04053
natural gas,0.378731
Randa Duncan Williams,-0.229492
Williams Inc.,0.398344
related NGL marketing,0.35151
Co. Inc.,0.400184
natural gas liquids,0.313252
highest net out-flow,0.295774
Raymond James Trust,0.461511
stock,0.142676
consensus price target,0.444273
Products Partners L.P.,0.04053
InvestorPlace Broker Center,0.555736
firm’s stock,-0.229492
total value,0.338403
research report,0.382333
Natural Gas Pipelines,0.266848
onshore natural gas,0.266848
Services segment,0.309179
personal trading style,0.598412
Partners L.P. Daily,0.597074
Huntington National Bank,0.208508
NGL Pipelines,0.35151
natural gas processing,0.35151
average price,0.479177
shares,0.180945
concise daily summary,0.56682
Pennsylvania Trust Company,0.423333
crude oil storage,-0.236023
stock broker,0.245696
rating,0.355258
quarter,0.02637
