2016-03-09T00:00:00.000-05:00
analysts,0.454578
personal trading style,0.598412
annualized basis,0.470295
previous quarterly dividend,0.778488
quarterly dividend,0.778488
dividend yield,0.470295
period,0.294864
Competitive Energy Businesses,0.300769
MarketBeat.com reports,-0.286696
Consolidated Edison,0.24579
consensus estimate,0.398349
shares,0.294864
Vanguard Group Inc.,0.34834
average target price,-0.325261
concise daily summary,0.454578
stock,0.278475
quarterly revenue,-0.550973
stock broker,0.245696
LSV Asset Management,0.241389
consensus rating,0.406148
Consolidated Edison Inc.,0.586221
InvestorPlace Broker Center,0.555736
rating,0.406148
high fees,-0.735674
