2016-03-05T00:00:00.000-05:00
Exchange Commission,0.356764
PartnerRe Ltd.,0.376619
email newsletter,0.587112
consensus estimates,0.376343
earnings results,-0.283524
Water Island Capital,0.297724
strong buy rating,0.590289
dividend yield,0.514794
Partnerre Ltd Daily,0.435254
email address,0.517633
related companies,0.587112
InvestorPlace Broker Center,0.555736
chief operating officer,0.207524
high fees,-0.735674
Janus Capital Management,-0.342196
year-over-year basis,-0.33333
wholly owned subsidiaries,0.231686
personal trading style,0.598412
specialty insurance services,0.231686
annualized basis,0.514794
latest news,0.517633
partnerre,0.128565
average rating,-0.332466
international reinsurance,0.376619
average price,0.114883
shares,0.0523248
concise daily summary,0.517633
consensus target price,0.435623
quarterly revenue,-0.33333
company,0.00830251
stock broker,0.245696
quarter,0.297724
