2016-03-05T00:00:00.000-05:00
rehabilitation supply markets,0.496911
consensus estimates,0.372462
FY2016 earnings,0.280206
quarter worth,0.488272
PDCO,-0.21548
Gavekal Capital,0.400789
price objective,0.447437
Capstone Asset Management,0.552369
B. Couillard,0.399319
Investment Advisers LLC,0.621195
stock,0.415214
technology dental equipment,0.563675
related companies,0.643131
Asset Management Company,0.552369
Jefferies Group analyst,0.399319
rehabilitation supply,0.464679
InvestorPlace Broker Center,0.555736
Patterson Companies,-0.167586
1-year high,-0.542762
research report,0.400373
Livforsakringsbolaget Skandia Omsesidigt,0.412539
Gateway Investment Advisers,0.621195
Patterson Companies Inc.,0.643131
Zacks Investment Research,0.435915
personal trading style,0.598412
Jefferies Group,0.399319
dental supply segment,0.314016
Proficio Capital Partners,0.488272
average price,0.280849
shares,0.47683
consensus estimate,0.391472
average target price,-0.325261
concise daily summary,0.467028
research reports,-0.21548
consensus rating,0.406148
rating,0.401817
