2016-03-04T00:00:00.000-05:00
Cimarex Energy,-0.343262
Cabot Wealth Management,0.28166
strong buy rating,0.337369
price target,0.332799
stock,-0.0277036
Deutsche Bank,0.250352
Jefferies Group analyst,0.262308
InvestorPlace Broker Center,0.555736
research report,0.319591
year-over-year basis,-0.262826
Chevy Chase Trust,0.340507
Zacks Investment Research,0.368677
personal trading style,0.598412
Topeka Capital Markets,0.475584
Jefferies Group,0.262308
J. Wolff,0.262308
Energy Co Daily,0.47464
research offerings,0.40995
average price,0.159636
shares,0.012128
Chase Trust Holdings,0.340507
concise daily summary,0.52925
consensus target price,0.506643
production company,0.333469
company,0.0940752
stock broker,0.245696
consensus rating,0.479953
rating,0.376849
quarter,0.0664427
