2016-03-03T00:00:00.000-05:00
VP Lynn Marmer,-0.262762
consensus estimates,0.305919
strong buy rating,0.440729
price target,0.118981
Financial Services LLC,0.218819
research analysts,0.292096
stock,0.0518597
Kroger,0.0794235
hold rating,0.292096
recent filing,0.324073
Kroger Co Daily,0.43767
InvestorPlace Broker Center,0.555736
average price target,-0.335615
high fees,-0.735674
research report,0.405135
personal trading style,0.598412
HL Financial Services,0.218819
average price,-0.275474
Atria Investments,0.218344
consensus estimate,0.244909
shares,-0.0204659
concise daily summary,0.518166
company,0.267336
stock broker,0.245696
consensus rating,0.392508
quarterly earnings data,-0.274652
quarter,-0.211901
TIAA CREF Trust,0.633639
