2016-03-11T00:00:00.000-05:00
current price,0.497738
Wilmington Trust,0.343035
Nexus Investment Management,0.52776
equities research,0.376194
LGT Capital Partners,0.360506
ExxonMobil Investment Management,0.350366
stock,0.410476
consensus price target,0.439832
Thursday,-0.475371
InvestorPlace Broker Center,0.555736
M&T Bank Co.,-0.175109
sell rating,0.376194
personal trading style,0.598412
bank holding company,0.277752
average rating,-0.253646
research note,0.265138
Investment Management,0.439063
average price,0.330216
Credit Suisse,0.497738
shares,0.431718
financial services provider,0.40966
concise daily summary,0.443618
Marketbeat reports,-0.325653
Fenimore Asset Management,0.442862
stock broker,0.245696
company,0.0749456
rating,0.0789525
potential upside,0.497738
equities research analyst,0.376194
quarter,0.416453
