2016-03-05T00:00:00.000-05:00
LLC’s holdings,0.501923
Exchange Commission,0.429418
animal health products,0.429513
Detwiler Fenton Investment,0.237029
dividend yield,0.340581
strong buy rating,0.362647
Co. Inc.,0.582942
recent quarter,0.501923
stock,0.330125
consensus price target,0.439282
Merck,-0.0629607
InvestorPlace Broker Center,0.555736
Gillespie Robinson,0.239591
Friday,0.436288
equities analysts,-0.59528
sell rating,0.379545
personal trading style,0.598412
health care company,0.632606
average rating,-0.262443
Curian Capital LLC,0.0733032
research note,0.41448
average price,0.393123
consensus estimate,0.400346
shares,-0.156761
concise daily summary,0.453861
Co.,-0.0629607
Corrado Investment Advisors,0.206798
joint ventures,0.324536
stock broker,0.245696
company,0.0882566
recent Form,0.429418
new position,0.221914
equities research analyst,0.379545
quarter,0.101249
