2016-03-05T00:00:00.000-05:00
animal health products,0.429513
Detwiler Fenton Investment,0.420688
MRK shares,-0.379467
52-week low,-0.625163
quarter worth,0.334506
Jay D. Rosenbaum,0.221361
dividend yield,0.444039
strong buy rating,0.263233
Co. Inc.,0.582942
stock,0.352283
52-week high,-0.625163
Merck,-0.0837349
Equities research analysts,-0.434477
InvestorPlace Broker Center,0.555736
Gillespie Robinson,0.475736
average price target,-0.385753
Economic Planning Group,0.332816
sell rating,0.354882
Oakwood Capital Management,-0.451177
personal trading style,0.598412
annualized basis,0.444039
American Economic Planning,0.332816
health care company,0.632606
average rating,-0.409686
target price,0.386187
Capital Management LLC,-0.451177
research note,0.405002
consensus estimate,0.55125
shares,-0.0059672
concise daily summary,0.453861
Co.,-0.0837349
Corrado Investment Advisors,0.361469
joint ventures,0.324536
stock broker,0.245696
company,0.433023
Management LLC CA,-0.451177
recent Form,0.30838
Co.’s revenue,-0.574837
new stake,0.334506
