2016-03-08T00:00:00.000-05:00
position,0.663789
personal trading style,0.598412
Capital Management Inc.,0.0946566
recent disclosure,0.419919
software giant,0.386494
Microsoft Co.,0.0767767
average rating,-0.456067
target price,0.316499
chief accounting officer,0.212107
research note,0.255068
strong buy rating,0.320938
Microsoft,-0.0991838
quarterly earnings results,-0.225904
average price,0.0961686
Kistler-Tiffany Companies,0.242123
shares,-0.0238345
software products,0.608074
concise daily summary,0.455372
giant’s stock,0.386494
Capital Management,0.0946565
recent filing,0.55312
stock broker,0.245696
InvestorPlace Broker Center,0.555736
average price target,-0.388651
Bath Savings Trust,0.597327
Credit Agricole,0.338713
Savings Trust Company,0.597327
quarter,-0.0305084
Liberty Capital Management,0.0946565
