2016-03-05T00:00:00.000-05:00
Appleton Partners,0.431623
Management Co.,0.366779
American Research,0.366779
Boston Advisors,0.378435
RBC Capital,0.518085
United Technologies Co.,0.226235
stake,0.239048
stock,0.0499109
recent filing,0.428989
Nordea Investment Management,0.428989
InvestorPlace Broker Center,0.555736
research report,0.309594
year-over-year basis,-0.342258
12-month high,-0.342987
Leavell Investment Management,0.368786
personal trading style,0.598412
average rating,-0.309537
United Technologies,0.0370538
Investment Management Inc.,0.368786
Investment Management AB,0.428989
Investment Management,0.368591
Sentry Investment Management,0.307803
shares,0.37176
consensus estimate,0.371224
concise daily summary,0.45086
consensus target price,0.437056
stock broker,0.245696
company,0.0246366
recent Form,0.310952
rating,-0.0188234
quarter,0.0158599
high technology products,0.559635
