2016-03-15T00:00:00.000-04:00
Exchange Commission,0.388547
Omnicom Group,0.150895
Inc. dba Evanston,0.483498
Omnicom Group Inc.,0.195519
price target,0.432275
Greiner Hartman Maher,0.544022
investment portfolio,0.457168
stake,0.211801
stock,0.426702
consensus price target,0.483416
InvestorPlace Broker Center,0.555736
Evanston Investments Inc.,0.483498
Janus Capital Management,0.192343
12-month high,-0.401123
Zacks Investment Research,0.257813
personal trading style,0.598412
dba Evanston Advisors,0.483498
corporate communications services,0.340705
Trust Advisors LP,0.465645
research note,0.381134
period,0.206651
average price,0.202115
shares,0.216258
concise daily summary,0.456858
Chicago Equity Partners,0.619448
stock broker,0.245696
company,0.0480722
consensus rating,0.443698
Investments Inc. dba,0.483498
recent Form,0.388547
rating,0.394076
Dalton Greiner Hartman,0.544022
new stake,0.619448
quarter,0.132456
