2016-03-15T00:00:00.000-04:00
Goldman Sachs,0.380573
market cap,0.20996
enterprise software provider,0.213534
Director Hector Garcia-Molina,-0.447754
price-to-earnings ratio,0.20996
52-week low,-0.759107
strong buy rating,0.388474
dividend yield,0.440837
price target,-0.0131393
Citigroup Inc.,-0.428903
stock,-0.0196576
52-week high,-0.759107
email address,0.453018
InvestorPlace Broker Center,0.555736
Oracle,-0.179259
average price target,-0.327886
Oracle database,0.569395
high fees,-0.735674
research report,-0.0789656
middleware software,0.569395
SEC website,0.55109
application software,0.337921
Zacks Investment Research,0.40453
personal trading style,0.598412
annualized basis,0.440837
latest news,0.453018
Oracle Co.,0.57909
average price,0.135148
consensus estimate,0.413321
shares,-0.00345069
concise daily summary,0.453018
stock broker,0.245696
company,0.341664
AnalystRatings.Net reports,-0.286524
consensus rating,0.516185
quarterly earnings data,-0.200099
