2016-03-13T00:00:00.000-05:00
Employees Retirement Fund,0.309516
Public Employees Retirement,0.309516
Exchange Commission,0.409701
earnings results,-0.283524
dividend yield,0.299458
price objective,0.237321
Paul W. Schmidt,-0.315161
recent quarter,0.309516
stock,-0.0536284
InvestorPlace Broker Center,0.555736
Lennox International Inc.,0.0493366
climate control solutions,0.623671
Lennox International,-0.0594208
personal trading style,0.598412
Oregon Public Employees,0.309516
average rating,-0.404832
Stifel Nicolaus,0.329976
Credit Suisse,0.237321
average price,0.151457
Lennox International stock,-0.315161
shares,-0.0179189
consensus estimate,-0.318973
concise daily summary,0.453524
consensus target price,0.431101
company,-0.0159201
stock broker,0.245696
rating,-0.404833
quarter,-0.045179
