2016-03-05T00:00:00.000-05:00
business process,0.817695
Xerox Corp Daily,0.420341
Denali Advisors,0.297122
Exchange Commission,0.400414
previous quarterly dividend,0.747833
Creative Planning,0.474115
Detwiler Fenton Investment,0.227806
dividend yield,0.416774
Xerox Corp,0.100992
Capstone Asset Management,0.326167
recent quarter,0.470055
PGGM Investments,0.470055
stock,0.0890079
Asset Management Company,0.326167
InvestorPlace Broker Center,0.555736
average price target,-0.389431
high fees,-0.735674
equities analysts,-0.431254
personal trading style,0.598412
recent disclosure,0.400414
average rating,-0.29986
target price,0.519469
document management solutions,0.817695
Credit Suisse,0.294879
shares,0.0438274
concise daily summary,0.512335
midsize businesses,0.427676
stock broker,0.245696
Xerox Corporation,0.817695
rating,0.21961
quarterly earnings data,-0.228684
new stake,0.227806
