2016-03-15T00:00:00.000-04:00
Goldman Sachs,-0.442892
Financial Services Group,0.369492
Exchange Commission,0.281574
Services Group Inc.,0.369492
earnings results,-0.223883
52-week low,-0.698624
strong buy rating,0.421232
price objective,0.440634
Lindsell Train,0.344983
global technology company,0.357944
52-week high,-0.698624
InvestorPlace Broker Center,0.555736
ebay,0.00727612
Thomas J. Tierney,-0.226322
research report,0.208423
PNC Financial Services,0.369492
sell rating,0.364757
e-commerce company,0.385596
personal trading style,0.598412
target price,-0.0538622
Contravisory Investment Management,0.575334
recent reporting period,0.369492
Mercantile Asset Management,0.511203
Numeric Investors,0.373861
average price,-0.550849
shares,0.111679
concise daily summary,0.545039
average target price,-0.32076
eBay stock,-0.272437
applications programming interfaces,0.509626
stock broker,0.245696
consensus rating,0.478166
recent Form,0.281574
Yahnke LLC,0.437944
open source platform,0.509626
eBay Inc Daily,0.528533
Director Robert Holmes,-0.318552
quarter,0.111029
new stake,0.543269
