2016-03-05T00:00:00.000-05:00
market cap,0.229409
Western Capital Management,0.00245306
PepsiCo,0.0802869
52-week low,-0.625163
price target,0.365703
Acadian Asset Management,0.218074
Fisher Asset Management,0.229664
consensus price target,0.43038
InvestorPlace Broker Center,0.555736
Chevy Chase Trust,0.397379
sell rating,0.376194
personal trading style,0.598412
recent disclosure,0.458818
average rating,-0.404878
recent reporting period,0.385292
research note,0.333365
average price,-0.246197
shares,0.0372116
Chase Trust Holdings,0.397379
concise daily summary,0.466655
chief financial officer,0.214481
company,0.257646
stock broker,0.245696
PepsiCo Inc.,0.64143
rating,-0.0572362
quarterly earnings data,-0.292517
equities research analyst,0.376194
Nisa Investment Advisors,0.214828
quarter,-0.185545
