2016-03-14T00:00:00.000-04:00
previous quarterly dividend,0.583285
State Teachers Retirement,0.457615
quarterly dividend,0.583284
Mutual Fund Advisers,0.744094
strong buy rating,0.419312
price objective,-0.311662
Capstone Asset Management,0.65728
stake,0.64377
market capitalization,-0.282372
midday trading,-0.346025
stock,0.542397
P/E ratio,-0.282372
Asset Management Company,0.65728
InvestorPlace Broker Center,0.555736
average price target,-0.335615
Fund Advisers Trust,0.744094
research report,0.0738151
Pinnacle Bank,0.612935
Emerald Mutual Fund,0.744094
California State Teachers,0.457615
Pinnacle Financial Partners,-0.0108014
Financial Partners Inc.,0.814098
personal trading style,0.598412
Zacks Investment Research,0.589734
Emerald Advisers,0.285163
Financial Partners Daily,0.729417
period,0.665524
equities research analysts,0.373951
average price,-0.306339
shares,0.315743
financial services provider,0.665524
Hovde Group,0.374471
concise daily summary,0.612878
wholly owned subsidiary,0.663929
stock broker,0.245696
consensus rating,0.392508
quarterly earnings data,-0.225971
