2016-03-11T00:00:00.000-05:00
Exchange Commission,0.314523
email newsletter,0.54254
GW&K Investment Management,0.289919
price objective,0.438411
quarterly earnings results,-0.250176
Chemical Corp Daily,0.328667
recent quarter,0.500587
market capitalization,-0.207771
email address,0.486512
related companies,0.54254
P/E ratio,-0.207771
InvestorPlace Broker Center,0.555736
1-year high,-0.513156
high fees,-0.735674
year-over-year basis,-0.331595
personal trading style,0.598412
latest news,0.486512
average rating,-0.255561
Quaker Chemical Corporation,0.331163
Neuberger Berman Group,0.500587
process fluids,0.331163
average price,-0.235316
consensus estimate,0.429061
shares,0.0105597
chemical specialty products,0.703335
average target price,-0.365312
concise daily summary,0.486512
chemical specialties,0.331163
Quaker Chemical Corp,0.0517655
stock broker,0.245696
company,0.0149074
Berman Group LLC,0.500587
recent Form,0.314523
