2016-03-15T00:00:00.000-04:00
neutral rating,0.260937
Group plc Daily,0.461847
GBX,0.0651384
personal customers,0.205398
Insurance Group plc,0.131812
price target,0.527011
Panmure Gordon,0.291809
Sanford C. Bernstein,0.227891
business’s stock,0.228837
market capitalization,-0.218859
consensus price target,0.527011
stock,0.0185611
email address,0.526268
InvestorPlace Broker Center,0.555736
total value,0.283232
insurance provider,0.237726
insider Waterous,Johanna,0.228837
high fees,-0.735674
Friday,0.228837
market perform rating,0.227891
personal trading style,0.598412
commercial property,-0.203362
previous  dividend,0.279848
ex-dividend date,-0.301017
medium sized commercial,0.354004
Market Beat.com reports,-0.211981
JPMorgan Chase,0.260937
shares,0.260323
RSA Insurance Group,0.131812
concise daily summary,0.526268
stock broker,0.245696
consensus rating,0.527011
