2016-03-13T00:00:00.000-05:00
Piper Jaffray,0.213825
market cap,0.20996
current price,0.213825
Regeneron Pharmaceuticals,0.022568
52-week low,-0.735449
price-to-earnings ratio,0.20996
integrated biopharmaceutical company,0.369328
strong buy rating,0.389687
price target,-0.165277
Vanguard Group Inc.,0.0307395
stock,0.0660042
52-week high,-0.735449
InvestorPlace Broker Center,0.555736
average price target,-0.379199
Janus Capital Management,-0.212439
biopharmaceutical company,0.291885
equities analysts,-0.219826
sell rating,0.362786
personal trading style,0.598412
Jennison Associates LLC,0.232943
average rating,-0.304836
target price,0.213825
Pharmaceuticals Inc Daily,0.397938
research note,0.455498
average price,-0.317249
shares,0.253164
consensus estimate,-0.531836
concise daily summary,0.505807
Marketbeat.com reports,-0.286471
stock broker,0.245696
rating,0.0716884
potential upside,0.213825
quarter,0.025622
rare inflammatory condition,-0.616279
