2016-03-04T00:00:00.000-05:00
earnings results,-0.267475
Ritchie Bros,-0.0095827
price target,-0.286036
share,0.294873
midday trading,-0.284343
Raymond James,-0.286036
Jefferies Group analyst,0.366761
InvestorPlace Broker Center,0.555736
year-over-year basis,-0.306706
12-month high,-0.406886
earnings,-0.267475
sell rating,0.310752
Zacks Investment Research,0.496326
personal trading style,0.598412
Jefferies Group,0.366761
target price,0.0164926
Core Auction segment,0.206089
Auctioneers stock,0.296073
unreserved auction services,0.755672
average price,0.405834
shares,-0.0864588
consensus estimate,0.459791
average target price,-0.308508
concise daily summary,0.39382
S. Volkmann,0.366761
Canaccord Genuity,0.261968
stock broker,0.245696
prior forecast,-0.266127
company,0.168267
Auctioneers,-0.0125358
consensus rating,0.438224
rating,0.349744
