2016-03-02T00:00:00.000-05:00
previous quarterly dividend,0.824186
quarterly dividend,0.824186
email newsletter,0.595957
Commerce Daily,0.492957
Wealth Management,0.216369
price target,0.235232
Wholesale Banking,0.216369
share,0.508551
Canadian Imperial Bank,0.240356
strategic business units,0.253836
market capitalization,-0.325809
email address,0.531334
related companies,0.595957
P/E ratio,-0.325809
Risk Management,-0.211419
InvestorPlace Broker Center,0.555736
Commerce,0.240356
1-year high,-0.365057
high fees,-0.735674
personal trading style,0.598412
Zacks Investment Research,0.368359
annualized basis,0.521531
latest news,0.531334
target price,0.376535
average rating,-0.336159
Sector Perform,0.222232
research offerings,0.40995
average price,0.487542
consensus estimate,0.508551
concise daily summary,0.531334
consensus target price,0.376535
prior forecast,-0.352392
stock broker,0.245696
CM,-0.264299
