2016-03-15T00:00:00.000-04:00
data storage provider,0.491259
Exchange Commission,0.313364
state hybrid drives,0.388952
Meritage Portfolio Management,0.372536
data storage products,0.516272
strong buy rating,0.363903
Investment Counsel Inc.,0.390271
recent quarter,0.825364
Century Companies Inc.,0.371599
stock,0.333442
consensus price target,0.483416
World Asset Management,0.365016
American Century Companies,0.371599
recent filing,0.313364
solid state drives,0.431716
InvestorPlace Broker Center,0.555736
Zacks Investment Research,0.298039
personal trading style,0.598412
target price,0.282463
provider’s stock,0.395172
Trust Advisors LP,0.671369
Seagate Technology PLC,-0.241442
research note,0.333638
solid state,0.410334
ZWJ Investment Counsel,0.390271
Equities analysts,-0.611687
Technology PLC Daily,0.601309
electronic data storage,0.516272
consensus estimate,0.250763
shares,0.234104
concise daily summary,0.572106
Leonard Capital Management,0.655937
stock broker,0.245696
company,0.403307
consensus rating,0.443698
new stake,0.655937
quarter,0.448015
