2016-03-05T00:00:00.000-05:00
Exchange Commission,0.298036
previous quarterly dividend,0.797269
dividend yield,0.416821
Capstone Asset Management,0.213917
stake,0.267618
stock,-0.268164
electric distribution,0.392164
hold rating,0.223161
Asset Management Company,0.213917
Ellis Asset Management,0.206728
InvestorPlace Broker Center,0.555736
natural gas distribution,0.447133
research report,0.204766
Chevy Chase Trust,0.355404
personal trading style,0.598412
Zacks Investment Research,0.409036
average rating,-0.298602
target price,-0.0605429
buy rating,0.223161
recent reporting period,0.344642
research note,0.334679
Sentry Investment Management,0.284359
Eversource Energy Daily,0.520729
average price,0.272582
shares,-0.024062
Eversource Energy,0.425681
concise daily summary,0.544714
Chase Trust Holdings,0.355404
average target price,-0.369308
Baker Ellis Asset,0.206728
stock broker,0.245696
company,-0.0818697
rating,-0.0289234
Asset Management,0.210322
quarterly earnings data,-0.290253
quarter,-0.135704
