2016-03-12T00:00:00.000-05:00
Investment Partners LLC,0.233957
McDonald,0.115102
Shamrock Asset Management,0.470321
Exchange Commission,0.282438
DT Investment Partners,0.233957
dividend yield,0.447951
fast-food giant,-0.0548272
Asset Management LLC,0.470321
investment portfolio,0.471323
giant’s stock,-0.00204387
Ballentine Partners,0.277851
Equities research analysts,0.322593
InvestorPlace Broker Center,0.555736
research report,0.323462
Ballentine Partners LLC,0.309227
sell rating,0.311541
personal trading style,0.598412
average rating,-0.253601
recent reporting period,0.469319
Blake Investment Advisors,0.377231
distinct geographic segments,0.298844
average price,-0.277062
shares,0.0505235
concise daily summary,0.450426
Co.,0.427978
consensus target price,0.440552
stock broker,0.245696
Investment Advisors LLC,0.377231
recent Form,0.282438
rating,0.027987
new position,0.631404
quarter,-0.044413
