2016-03-05T00:00:00.000-05:00
LLC’s holdings,0.325899
Sky Investment Group,0.282485
McDonald,-0.0518719
Capital Management Inc.,0.255271
Piedmont Investment Advisors,0.278374
Exchange Commission,0.409701
dividend yield,0.44196
fast-food giant,-0.0343496
strong buy rating,0.379632
Murphy Capital Management,0.255271
quarterly earnings results,-0.279076
giant’s stock,-0.00307268
InvestorPlace Broker Center,0.555736
1-year high,-0.551225
sell rating,0.461001
Zacks Investment Research,0.206136
personal trading style,0.598412
Investment Group LLC,0.282485
average rating,-0.364859
recent SEC filing,0.239071
research note,0.377136
distinct geographic segments,0.298844
period,-0.00307268
average price,-0.255299
shares,0.0170349
average target price,-0.373449
concise daily summary,0.450426
Co.,-0.215371
stock broker,0.245696
company,0.0460804
Investment Advisors LLC,0.278374
quarter,-0.332449
