2016-03-03T00:00:00.000-05:00
Investment Research Inc.,0.548168
market cap,0.229409
52-week low,-0.766495
Symantec,-0.300438
dividend yield,0.307314
price objective,0.497025
Capstone Asset Management,0.326167
recent quarter,0.797021
James Investment Research,0.548168
consensus price target,0.484231
enterprise data center,0.225565
52-week high,-0.766495
Asset Management Company,0.326167
PE ratio,0.229409
InvestorPlace Broker Center,0.555736
personal trading style,0.598412
recent disclosure,0.422044
Symantec Co.,-0.351859
ex-dividend date,-0.339173
Sentry Investment Management,0.228662
period,-0.0371803
average price,0.213824
consensus estimate,0.545279
shares,-4.75347E-4
concise daily summary,0.455222
New England Research,0.307086
stock broker,0.245696
company,0.0489695
consensus rating,0.456742
rating,0.476883
quarterly earnings data,-0.292517
quarter,0.42411
