2016-03-15T00:00:00.000-04:00
Capital Management Inc.,0.301077
Exchange Commission,0.531931
Welch Group LLC,0.207151
Competitive Energy Businesses,0.300769
Symons Capital Management,0.301077
stock,0.224745
related companies,0.586221
InvestorPlace Broker Center,0.555736
British Columbia Investment,0.21007
Consolidated Edison Inc.,0.586221
high fees,-0.735674
research report,0.49591
personal trading style,0.598412
recent disclosure,0.531931
Jefferies Group,0.215269
average rating,-0.304239
BTIM Corp.,0.236062
Investment Management Corp,0.21007
Consolidated Edison,-0.0664178
shares,-0.0796838
concise daily summary,0.454578
average target price,-0.369661
Columbia Investment Management,0.21007
stock broker,0.245696
rating,0.191671
quarterly earnings data,-0.274652
quarter,-0.358749
