2016-03-03T00:00:00.000-05:00
Exchange Commission,0.280606
previous quarterly dividend,0.582444
quarterly dividend,0.582444
earnings results,-0.206123
Foot Locker Inc.,0.56434
strong buy rating,0.29685
dividend yield,0.343362
Walmsley LLC,0.295527
investment analysts,0.230344
Athletic Stores segment,0.460307
stock,-0.108332
Foot Locker,0.0947489
hold rating,0.230344
positive change,0.582444
InvestorPlace Broker Center,0.555736
Blue Fin Capital,-0.221917
research report,0.325378
Runners Point Group,0.361147
Thompson Siegel,0.295527
Zacks Investment Research,0.281124
personal trading style,0.598412
average rating,-0.404833
target price,0.308963
recent SEC filing,0.257992
Brean Capital,0.213659
average price,0.38779
consensus estimate,0.525389
shares,0.0157271
concise daily summary,0.449792
consensus target price,0.431101
stock broker,0.245696
company,-0.353367
Pegasus Partners,0.207856
recent Form,0.280606
quarter,-0.057079
