2016-03-15T00:00:00.000-04:00
Goldman Sachs,-0.337764
Financial Services Group,0.307048
Total S.A.,0.51166
previous quarterly dividend,0.775866
Company MN,0.248448
quarterly dividend,0.775866
Services Group Inc.,0.307048
quarter worth,0.251477
dividend yield,0.444928
strong buy rating,0.470399
price objective,0.254704
oil,0.295031
stock analysts,-0.337764
stock,-0.0121021
hold rating,0.322571
InvestorPlace Broker Center,0.555736
Liberum Capital,-0.237145
Cambiar Investors LLC,0.251477
research report,0.220541
gas exploration company,0.295031
PNC Financial Services,0.307048
personal trading style,0.598412
target price,-0.322476
research note,0.457464
shares,0.0578856
Total SA,-0.216237
average target price,-0.322476
concise daily summary,0.517829
previous close,0.254704
stock broker,0.245696
Wells Fargo,0.248448
consensus rating,0.450718
Total S.A. Daily,0.441211
rating,0.398682
new position,0.251477
potential upside,0.254704
quarter,0.28632
