2016-03-12T00:00:00.000-05:00
previous quarterly dividend,0.813231
Pensions Investment Management,0.391576
Evercore ISI,0.432843
dividend yield,0.346251
Vanguard Group Inc.,0.307202
stock,-0.00682089
InvestorPlace Broker Center,0.555736
research report,0.541479
wholly owned subsidiaries,0.61904
Reinhart Partners Inc.,0.381271
Zacks Investment Research,0.442277
personal trading style,0.598412
West Capital Corporation,0.61904
average rating,-0.360175
wholesale electricity businesses,0.61904
research note,0.399666
Morgan Stanley,0.319608
wholesale electric service,0.239519
Pinnacle West Capital,0.154824
average price,0.162861
shares,0.351897
consensus estimate,0.388575
average target price,-0.373157
concise daily summary,0.474188
Hexavest Inc.,0.26018
Canyon Energy Corporation,0.404005
highest net in-flow,0.468188
stock broker,0.245696
AnalystRatings.Net reports,-0.412312
company,0.354847
rating,0.0538136
quarter,-0.0553454
West Capital Co.,0.193001
