2016-03-05T00:00:00.000-05:00
State Teachers Retirement,0.406579
email newsletter,0.559736
dividend yield,0.411443
United Community Banks,0.0106132
Asset Management Inc.,0.539988
stock,0.441515
email address,0.448785
Eagle Asset Management,0.539988
related companies,0.559736
Community Banks Inc.,0.559736
InvestorPlace Broker Center,0.555736
central Tennessee,0.412071
high fees,-0.735674
California State Teachers,0.406579
banking services,0.412071
Zacks Investment Research,0.40995
personal trading style,0.598412
annualized basis,0.411443
latest news,0.448785
Rhumbline Advisers,0.470444
Capital Management LLC,0.470112
Market Beat.com reports,-0.212916
FJ Capital Management,0.470112
average price,0.389382
shares,0.480679
consensus estimate,0.426364
financial services provider,0.480679
Comerica Bank,0.516271
concise daily summary,0.448785
wholly owned subsidiary,0.229008
stock broker,0.245696
quarter,0.471781
