2016-03-05T00:00:00.000-05:00
personal trading style,0.598412
Exchange Commission,0.262041
firm,-0.337001
average rating,-0.383104
target price,-0.343567
consensus estimates,0.335582
United Technologies,-0.080191
52-week low,-0.723675
dividend yield,0.384081
Equities analysts,-0.509046
shares,0.256866
Fisher Asset Management,0.229664
concise daily summary,0.45086
United Technologies Co.,-0.0471389
average target price,-0.37459
midday trading,-0.305229
stock,0.261952
52-week high,-0.723675
Sterne Agee CRT,0.266173
stock broker,0.245696
company,-0.109519
InvestorPlace Broker Center,0.555736
research report,-0.0774259
Friday,-0.0698173
high technology products,0.559635
quarter,-0.0950413
