2016-03-05T00:00:00.000-05:00
Advisory Services Network,0.621396
market cap,0.20996
Exchange Commission,0.31161
e-commerce giant,0.577772
price-to-earnings ratio,0.20996
strong buy rating,0.413136
Amazon.com Inc.,0.638971
price target,0.413052
CIBC World Markets,0.60455
quarterly earnings results,-0.247878
giant’s stock,0.577772
recent filing,0.31161
InvestorPlace Broker Center,0.555736
Blue Fin Capital,0.505302
equities analysts,-0.518837
e-commerce company,0.376469
personal trading style,0.598412
average rating,-0.332466
Hill Advisors Inc.,0.568096
target price,0.374041
recent reporting period,0.43102
Services Network LLC,0.621396
Credit Suisse,0.394471
average price,-0.235316
shares,0.288523
concise daily summary,0.466117
consensus target price,0.435623
VSR Financial Services,0.43102
stock broker,0.245696
company,0.0685383
Selber Inc.,0.589519
Beech Hill Advisors,0.568096
Amazon.com,-0.0681083
Financial Services Inc.,0.43102
quarter,-0.22549
