2016-03-07T00:00:00.000-05:00
weighted ICIS Basket,-0.418159
auto production,-0.418158
automotive chemicals markets,-0.297145
petrochemical raw material,-0.418159
average vehicle,-0.707041
surge,-0.380673
automotive industry,-0.707041
petrochemicals raw materials,-0.258639
monthly Global Automotive,-0.297145
trade association,0.20936
automotive petrochemicals,-0.338399
major global consumer,-0.707041
recent trends,-0.258639
raw material costs,-0.5626
free on-demand webinar,-0.258639
macroeconomic trends,-0.249804
