2016-03-08T00:00:00.000-05:00
position,0.306588
Advisory Services Network,0.427918
processor’s stock,0.385487
Torch Wealth Management,0.516804
Exchange Commission,0.411304
consensus estimates,0.351761
strong buy rating,0.381205
price objective,0.404275
price target,0.371741
Wealth Management LLC,0.516804
Fisher Asset Management,0.360745
recent filing,0.671671
payments technology company,0.323263
InvestorPlace Broker Center,0.555736
Wednesday,0.333004
high fees,-0.735674
research report,0.254575
personal trading style,0.598412
Visa,-0.141886
credit-card processor,0.385487
average rating,-0.304239
research note,0.371741
Services Network LLC,0.427918
Atalanta Sosnoff Capital,0.265917
average price,0.239525
BLB&B Advisors,0.31014
shares,0.117154
Visa Inc Daily,0.503088
average target price,-0.369661
concise daily summary,0.533799
executive vice president,0.214786
stock broker,0.245696
company,0.0803061
quarter,-0.0163067
